Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
NK cells,IL2-097,2,1,1520.4,1110.0,927.5,871.9,819.1,777.5,852.6,888.2,820.4,850.6,850.6,749.8
NK cells,IL2-097,1,1,1633.2,1183.2,801.0,725.6,707.0,703.5,616.1,727.4,586.4,633.7,722.6,643.9
NK cells,IL2-097,0.5,1,1529.2,1185.5,856.4,715.0,726.5,682.5,673.1,685.4,643.8,723.2,677.7,723.1
CD56bright NK cells,IL2-097,4,1,3280.5,2246.0,1829.5,1884.2,1320.2,1213.5,1310.7,1276.4,1419.2,651.6,912.5,1174.6
CD56bright NK cells,IL2-097,2,1,3597.7,2843.2,2140.9,1845.5,1047.8,1151.2,1146.3,1291.1,1396.1,1112.9,1591.9,925.3
CD56bright NK cells,IL2-097,1,1,4345.6,3290.2,2994.9,892.4,1438.4,857.4,881.0,817.6,1401.6,980.3,1185.3,918.3
CD56bright NK cells,IL2-097,0.5,1,3081.9,3646.2,3131.8,1628.4,938.0,1094.5,1382.9,876.4,1317.5,1236.7,654.8,1367.4
Cytotoxic T cells (CD3+CD8+),IL2-097,4,1,1173.0,851.7,774.6,756.0,756.7,761.2,763.3,761.5,718.8,703.0,764.5,695.8
Cytotoxic T cells (CD3+CD8+),IL2-097,2,1,1163.7,908.4,829.5,802.9,790.6,818.4,813.2,837.9,861.6,823.7,834.4,766.4
Cytotoxic T cells (CD3+CD8+),IL2-097,1,1,1115.8,860.2,738.1,762.8,722.1,722.1,752.3,724.7,704.6,743.4,731.1,747.9
Cytotoxic T cells (CD3+CD8+),IL2-097,0.5,1,1118.0,888.8,749.5,785.1,722.8,746.8,764.9,795.8,767.9,763.1,762.4,755.7
T-regulatory cells (naïve and memory combined),IL2-097,4,1,33719.2,24176.8,25712.6,25509.4,27561.5,20146.2,17620.2,17902.8,8574.5,4030.5,4338.7,2937.4
T-regulatory cells (naïve and memory combined),IL2-097,2,1,40852.0,32782.8,28810.5,27575.9,26614.0,24730.3,15502.8,8929.4,4662.6,3842.3,3669.9,3444.0
T-regulatory cells (naïve and memory combined),IL2-097,1,1,42629.9,36788.1,36668.7,33780.5,35753.6,24584.2,15963.3,7349.1,4399.9,4045.4,6977.8,5570.5
T-regulatory cells (naïve and memory combined),IL2-097,0.5,1,44722.4,43023.1,36956.8,34934.5,29094.9,22536.3,11491.7,15401.1,5042.4,3126.4,3539.0,5887.7
Naïve T-regulatory cells (CD45RA+),IL2-097,4,1,26410.7,20155.3,20185.0,20447.4,25144.3,18634.8,14601.5,17559.4,5116.9,3749.2,3914.2,2610.9
Naïve T-regulatory cells (CD45RA+),IL2-097,2,1,30273.5,23300.1,22221.8,21445.2,21259.2,18769.3,11309.6,7810.5,4067.7,3442.5,3669.9,2880.3
Naïve T-regulatory cells (CD45RA+),IL2-097,1,1,34611.1,32920.7,28497.0,26112.6,26315.3,13464.8,11494.6,4562.8,3478.3,3337.6,5370.5,3497.4
Naïve T-regulatory cells (CD45RA+),IL2-097,0.5,1,33926.9,33090.7,29611.7,26038.6,20938.2,9306.0,6594.0,8367.1,5537.4,3025.3,3128.2,4998.9
Memory T-regulatory cells (CD45RA-),IL2-097,4,1,38278.9,27115.0,28766.1,28760.3,31110.1,21942.1,20094.1,18032.7,11893.6,4434.4,5332.8,3150.7
Memory T-regulatory cells (CD45RA-),IL2-097,2,1,50003.2,37891.1,33142.9,32042.1,32637.0,29973.1,20974.5,14435.4,5095.3,4130.4,3729.3,3748.4
Memory T-regulatory cells (CD45RA-),IL2-097,1,1,48355.1,42680.2,41516.7,41026.2,40160.0,33070.5,19478.3,11951.7,5705.1,4523.6,7519.7,7603.1
Memory T-regulatory cells (CD45RA-),IL2-097,0.5,1,50086.3,45531.9,42041.7,37362.0,33990.8,25250.0,18824.9,21877.6,5042.4,3518.1,3728.5,7190.2
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,4,1,5157.6,3769.4,3646.7,3285.3,3270.5,3138.3,2727.1,2748.7,2618.0,2479.7,2547.2,2434.3
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,2,1,4980.6,3654.1,3286.2,3155.5,3150.5,3134.2,2868.8,2915.4,2899.5,2985.5,2848.2,3090.7
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,1,1,5213.5,4025.1,3306.5,2984.7,2897.9,3216.4,2786.2,2800.1,2808.6,2981.0,2751.7,2810.0
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,0.5,1,5688.7,4102.4,3407.2,2929.2,2808.4,2924.6,2793.1,2880.7,2743.4,2732.6,2698.1,2621.6
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,4,1,4119.9,3309.2,3274.1,3064.4,3082.2,3046.6,2646.9,2732.8,2631.6,2509.8,2546.4,2470.6
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,2,1,4204.7,3285.2,3094.4,3020.4,3088.7,3041.6,2866.4,2888.6,2861.4,2908.3,2847.6,3076.2
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,1,1,4131.0,3476.7,3080.1,2901.9,2849.7,3174.0,2771.0,2772.6,2774.5,2928.8,2736.1,2787.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,0.5,1,4454.5,3589.7,3156.0,2854.2,2726.6,2879.1,2782.2,2836.5,2713.8,2724.2,2682.3,2623.1
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,4,1,11023.9,5592.7,4804.0,3978.7,3627.6,3265.8,2869.6,2782.7,2609.5,2459.6,2565.9,2399.7
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,2,1,7805.8,4628.2,3705.6,3385.0,3272.0,3267.2,2903.3,2964.4,2958.6,3064.4,2869.7,3111.8
